epoch,s1/adv,s1/d_loss,s1/g_loss,s1/recon,step
30,0.08610586822032928,1.779296875,0.660355269908905,0.5742493867874146,78489
30,0.07949002832174301,1.943359375,0.5777543783187866,0.4982643723487854,78499
30,0.07867473363876343,1.8583984375,0.584140956401825,0.5054662227630615,78509
30,0.09278260916471481,1.7685546875,0.7240843176841736,0.6313017010688782,78519
30,0.0829760804772377,1.8193359375,0.5430883765220642,0.4601122736930847,78529
30,0.08193616569042206,1.86328125,0.4029157757759094,0.32097959518432617,78539
30,0.08212917298078537,1.869140625,0.4836103618144989,0.40148118138313293,78549
30,0.07998313009738922,1.796875,0.7129372358322144,0.6329541206359863,78559
30,0.08975586295127869,1.8017578125,0.6580443382263184,0.5682884454727173,78569
30,0.07851856201887131,1.8193359375,0.6626770496368408,0.5841584801673889,78579
30,0.0764327347278595,1.79296875,0.5226074457168579,0.446174681186676,78589
30,0.09198935329914093,1.8125,0.48344671726226807,0.39145737886428833,78599
30,0.09630023688077927,1.82421875,0.5739845037460327,0.47768425941467285,78609
30,0.08209747821092606,1.892578125,0.4179788827896118,0.33588141202926636,78619
30,0.08373179286718369,1.869140625,0.4506034553050995,0.3668716549873352,78629
30,0.07691919803619385,1.935546875,0.44065800309181213,0.3637388050556183,78639
30,0.08085640519857407,1.8798828125,0.4963201880455017,0.41546377539634705,78649
30,0.08998120576143265,1.8115234375,0.7148727178573608,0.6248915195465088,78659
30,0.07611405849456787,1.984375,0.5463842749595642,0.47027021646499634,78669
30,0.0941937118768692,1.826171875,0.5551131367683411,0.46091940999031067,78679
30,0.08669660240411758,1.8515625,0.48872342705726624,0.40202683210372925,78689
30,0.07448013871908188,1.88671875,0.412948340177536,0.33846819400787354,78699
30,0.08272100985050201,2.00390625,0.5369412899017334,0.4542202949523926,78709
30,0.08262192457914352,1.814453125,0.5364853739738464,0.4538634419441223,78719
30,0.08402684330940247,1.76171875,0.49816250801086426,0.4141356647014618,78729
30,0.08433803170919418,1.884765625,0.5507540702819824,0.46641606092453003,78739
30,0.08879867196083069,1.876953125,0.5962517261505127,0.5074530839920044,78749
30,0.08557047694921494,1.85546875,0.5717856884002686,0.4862152338027954,78759
30,0.07570827007293701,1.865234375,0.5551890134811401,0.4794807434082031,78769
30,0.07635616511106491,1.8369140625,0.5741742849349976,0.49781811237335205,78779
30,0.08295949548482895,1.8955078125,0.4990054666996002,0.4160459637641907,78789
30,0.08040625602006912,1.9619140625,0.47463423013687134,0.3942279815673828,78799
30,0.07268822938203812,1.9326171875,0.3963649868965149,0.3236767649650574,78809
30,0.08161529153585434,1.8740234375,0.47762563824653625,0.3960103392601013,78819
30,0.08708234876394272,1.82421875,0.47063544392585754,0.38355308771133423,78829
30,0.07977474480867386,1.861328125,0.5009011030197144,0.4211263656616211,78839
30,0.07599825412034988,1.828125,0.49232161045074463,0.41632336378097534,78849
30,0.0770704448223114,1.9189453125,0.5262242555618286,0.4491537809371948,78859
30,0.08612667769193649,1.8984375,0.6906522512435913,0.6045255661010742,78869
30,0.08501182496547699,1.92578125,0.5343454480171204,0.4493336081504822,78879
30,0.07586779445409775,1.8759765625,0.542989194393158,0.467121422290802,78889
30,0.0804155021905899,1.9501953125,0.5476379990577698,0.46722251176834106,78899
30,0.0760030746459961,1.853515625,0.3866407573223114,0.3106376826763153,78909
30,0.0864299088716507,1.8828125,0.5401711463928223,0.45374125242233276,78919
30,0.08139288425445557,1.85546875,0.403065025806427,0.32167214155197144,78929
30,0.07812726497650146,1.962890625,0.5664467215538025,0.488319456577301,78939
30,0.07860030978918076,1.83984375,0.5229125618934631,0.44431227445602417,78949
30,0.07800962775945663,1.884765625,0.5429157614707947,0.46490615606307983,78959
30,0.07723098248243332,2.0390625,0.5594266653060913,0.4821956753730774,78969
30,0.08229213953018188,1.833984375,0.5568616390228271,0.47456949949264526,78979
30,0.07766541093587875,1.8095703125,0.4625817835330963,0.38491636514663696,78989
30,0.08049681037664413,1.89453125,0.4054546356201172,0.32495781779289246,78999
30,0.08305011689662933,1.8203125,0.5620141625404358,0.47896406054496765,79009
30,0.07786530256271362,1.8515625,0.5364363193511963,0.45857104659080505,79019
30,0.08270089328289032,1.806640625,0.4693300724029541,0.386629194021225,79029
30,0.0794624462723732,1.8203125,0.5463671088218689,0.4669046401977539,79039
30,0.08201553672552109,1.853515625,0.540005087852478,0.45798957347869873,79049
30,0.07736342400312424,1.982421875,0.4922056794166565,0.41484224796295166,79059
30,0.08495344966650009,1.8662109375,0.5027685165405273,0.41781508922576904,79069
30,0.07749292999505997,1.8388671875,0.40389004349708557,0.3263971209526062,79079
30,0.08155255764722824,1.880859375,0.5559324026107788,0.47437986731529236,79089
30,0.07782869786024094,1.927734375,0.4613763689994812,0.38354766368865967,79099
30,0.08762770146131516,1.8515625,0.47596582770347595,0.3883381187915802,79109
30,0.08083552122116089,1.8603515625,0.4977276623249054,0.4168921411037445,79119
30,0.07697539776563644,1.8671875,0.3583812713623047,0.28140586614608765,79129
30,0.09094569087028503,1.822265625,0.49975699186325073,0.4088113009929657,79139
30,0.0806625634431839,1.7919921875,0.44826191663742065,0.36759933829307556,79149
30,0.08411283046007156,1.76171875,0.47651180624961853,0.39239898324012756,79159
30,0.08835750073194504,1.859375,0.577333927154541,0.48897644877433777,79169
30,0.07440079748630524,1.861328125,0.4875457286834717,0.41314491629600525,79179
30,0.07600685209035873,1.931640625,0.6012541055679321,0.5252472758293152,79189
30,0.08568954467773438,1.66796875,0.5213161110877991,0.4356265664100647,79199
30,0.08503223210573196,1.76953125,0.39708566665649414,0.3120534420013428,79209
30,0.07974784821271896,1.833984375,0.4154368042945862,0.3356889486312866,79219
30,0.08738914132118225,1.7998046875,0.4611251652240753,0.37373602390289307,79229
30,0.08572717756032944,1.9501953125,0.48813870549201965,0.4024115204811096,79239
30,0.07427971065044403,1.9296875,0.4142124652862549,0.33993276953697205,79249
30,0.07447584718465805,1.826171875,0.4372183084487915,0.36274245381355286,79259
30,0.08315037190914154,1.8837890625,0.5225335359573364,0.4393831491470337,79269
30,0.08136218786239624,1.845703125,0.5975736975669861,0.5162115097045898,79279
30,0.08252636343240738,1.837890625,0.42926129698753357,0.3467349410057068,79289
30,0.07530218362808228,1.779296875,0.5218397378921509,0.4465375542640686,79299
30,0.08675634115934372,1.806640625,0.4921761751174927,0.40541982650756836,79309
30,0.08673148602247238,1.8203125,0.5247573256492615,0.4380258321762085,79319
30,0.08163536339998245,1.8701171875,0.4991229176521301,0.41748756170272827,79329
30,0.0811576396226883,1.8388671875,0.6145402193069458,0.5333825945854187,79339
30,0.08657699078321457,1.765625,0.5444787740707397,0.4579017758369446,79349
30,0.08625748008489609,1.771484375,0.5617950558662415,0.47553756833076477,79359
30,0.07997394353151321,1.8935546875,0.500451385974884,0.4204774498939514,79369
30,0.07893284410238266,1.958984375,0.49794238805770874,0.4190095365047455,79379
30,0.07803430408239365,1.9736328125,0.4747390151023865,0.39670470356941223,79389
30,0.08217679709196091,1.8828125,0.5095474720001221,0.42737069725990295,79399
30,0.0793054848909378,1.9482421875,0.5594662427902222,0.48016077280044556,79409
30,0.08612613379955292,1.763671875,0.4915395975112915,0.4054134488105774,79419
30,0.0757453441619873,1.8955078125,0.4278615415096283,0.352116197347641,79429
30,0.08586970716714859,1.8349609375,0.4532943665981293,0.3674246668815613,79439
30,0.08318980783224106,1.939453125,0.5031819939613342,0.4199921786785126,79449
30,0.08886164426803589,1.796875,0.4953119158744812,0.4064502716064453,79459
30,0.08693177998065948,1.8369140625,0.5795031189918518,0.4925713539123535,79469
30,0.08670628815889359,1.9892578125,0.6981531381607056,0.6114468574523926,79479
30,0.07685280591249466,1.896484375,0.4152534604072571,0.338400661945343,79489
30,0.07579232007265091,1.92578125,0.4573310911655426,0.3815387785434723,79499
30,0.08263780176639557,1.8359375,0.5198028087615967,0.4371649920940399,79509
30,0.08116056770086288,1.8564453125,0.5065242052078247,0.4253636598587036,79519
