epoch,s2/acc,s2/loss,step
0,0.625,1.1991119384765625,9
0,0.8125,0.8191986083984375,19
0,0.75,0.9889678955078125,29
0,0.75,1.08551025390625,39
0,0.75,1.000152587890625,49
0,0.75,0.9262237548828125,59
0,0.875,0.68701171875,69
0,0.8125,0.8721923828125,79
0,0.75,0.8874664306640625,89
0,0.875,0.6096649169921875,99
0,0.375,1.7568817138671875,109
1,0.75,0.931243896484375,119
1,0.6875,1.1398773193359375,129
1,0.875,0.6412200927734375,139
1,0.6875,1.380859375,149
1,0.6875,0.9948883056640625,159
1,0.5625,1.5536041259765625,169
1,0.8125,0.8253173828125,179
1,0.5,1.48046875,189
1,0.6875,1.103790283203125,199
1,0.8125,0.746673583984375,209
1,0.625,1.0979766845703125,219
1,1.0,0.2783203125,229
2,0.75,0.9240264892578125,239
2,0.6875,1.1536026000976562,249
2,0.5,1.4507293701171875,259
2,0.8125,0.7034912109375,269
2,0.625,1.2875137329101562,279
2,0.8125,0.8055038452148438,289
2,0.5625,1.62689208984375,299
2,0.625,1.27838134765625,309
2,0.5625,1.3457183837890625,319
2,0.75,0.9387435913085938,329
2,0.875,0.7136764526367188,339
3,0.75,0.9773483276367188,349
3,0.75,0.7589492797851562,359
3,0.625,1.172760009765625,369
3,0.6875,1.0483856201171875,379
3,0.5625,1.5169944763183594,389
3,0.75,0.7755203247070312,399
3,0.8125,0.7802352905273438,409
3,0.875,0.55450439453125,419
3,0.6875,0.86895751953125,429
3,0.5,1.6510162353515625,439
3,0.6875,1.102630615234375,449
3,1.0,0.2314453125,459
4,0.375,1.4290618896484375,469
4,0.5,1.286712646484375,479
4,0.625,1.3784713745117188,489
4,0.875,0.6060638427734375,499
4,0.6875,0.9593276977539062,509
4,0.8125,0.70098876953125,519
4,0.75,0.9480743408203125,529
4,0.5,1.7442703247070312,539
4,0.625,1.442169189453125,549
4,0.6875,1.0142974853515625,559
4,0.8125,0.7717437744140625,569
5,0.6875,1.1768035888671875,579
5,0.4375,1.6266555786132812,589
5,0.625,1.0482177734375,599
5,0.6875,1.0696945190429688,609
5,0.625,0.9381561279296875,619
5,0.75,0.9075241088867188,629
5,0.5625,1.3046646118164062,639
5,0.6875,1.1985397338867188,649
5,0.375,1.9035415649414062,659
5,0.5625,1.3759689331054688,669
5,0.5625,1.14544677734375,679
5,1.0,0.198974609375,689
